,v2a1,rooms,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,rez_esc,hhsize,paredblolad,pisomoscer,pisocemento,cielorazo,sanitario2,sanitario3,energcocinar2,energcocinar3,epared2,epared3,etecho2,etecho3,eviv2,eviv3,male,female,estadocivil3,estadocivil7,parentesco1,parentesco3,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,instlevel3,bedrooms,overcrowding,tipovivi1,television,qmobilephone,lugar1,area1,area2,age,SQBescolari,SQBage,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,agesq
0,190000.0,3,0,,0,1,1,0,0,0,0,1,1,1,1,10,,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0.0,10.0,0.0,10.0,0,1,1.0,0,0,1,1,1,0,43,100,1849,1,100,0,1.0,0.0,100.0,1849
1,135000.0,4,1,1.0,0,1,1,0,0,0,0,1,1,1,1,12,,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,8.0,12.0,0.0,12.0,0,1,1.0,0,0,1,1,1,0,67,144,4489,1,144,0,1.0,64.0,144.0,4489
2,,8,0,,0,0,0,0,1,1,0,1,1,1,1,11,,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,8.0,0.0,11.0,11.0,0,2,0.5,1,0,0,1,1,0,92,121,8464,1,0,0,0.25,64.0,121.0,8464
3,180000.0,5,1,1.0,0,2,2,1,1,2,1,3,4,4,4,9,1.0,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,2,2,0,4,1.0,11.0,0.0,11.0,0,3,1.3333334,0,0,3,1,1,0,17,81,289,16,121,4,1.7777778999999998,1.0,121.0,289
4,180000.0,5,1,1.0,0,2,2,1,1,2,1,3,4,4,4,11,,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,4,1.0,11.0,0.0,11.0,0,3,1.3333334,0,0,3,1,1,0,37,121,1369,16,121,4,1.7777778999999998,1.0,121.0,1369
5,180000.0,5,1,1.0,0,2,2,1,1,2,1,3,4,4,4,11,,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,2,2,0,4,1.0,11.0,0.0,11.0,0,3,1.3333334,0,0,3,1,1,0,38,121,1444,16,121,4,1.7777778999999998,1.0,121.0,1444
6,180000.0,5,1,1.0,0,2,2,1,1,2,1,3,4,4,4,2,0.0,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,2,2,0,4,1.0,11.0,0.0,11.0,0,3,1.3333334,0,0,3,1,1,0,8,4,64,16,121,4,1.7777778999999998,1.0,121.0,64
7,130000.0,2,0,,0,1,1,2,1,3,2,2,4,4,4,0,0.0,4,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,2,0,4,1.0,9.0,0.0,10.0,0,1,4.0,0,0,1,1,1,0,7,0,49,16,81,4,16.0,1.0,100.0,49
8,130000.0,2,0,,0,1,1,2,1,3,2,2,4,4,4,9,,4,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,4,1.0,9.0,0.0,10.0,0,1,4.0,0,0,1,1,1,0,30,81,900,16,81,4,16.0,1.0,100.0,900
9,130000.0,2,0,,0,1,1,2,1,3,2,2,4,4,4,11,,4,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,4,1.0,9.0,0.0,10.0,0,1,4.0,0,0,1,1,1,0,28,121,784,16,81,4,16.0,1.0,100.0,784
10,130000.0,2,0,,0,1,1,2,1,3,2,2,4,4,4,3,1.0,4,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,2,2,0,4,1.0,9.0,0.0,10.0,0,1,4.0,0,0,1,1,1,0,11,9,121,16,81,4,16.0,1.0,100.0,121
11,100000.0,3,0,,0,0,0,0,2,2,0,2,2,2,2,12,,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,2,1.0,0.0,11.0,23.0,0,2,1.0,0,0,1,1,1,0,18,144,324,4,0,1,1.0,1.0,529.0,324
12,100000.0,3,0,,0,0,0,0,2,2,0,2,2,2,2,11,,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,2,1.0,0.0,11.0,23.0,0,2,1.0,0,0,1,1,1,0,34,121,1156,4,0,1,1.0,1.0,529.0,1156
13,,4,1,1.0,0,1,1,0,1,1,0,2,2,2,2,4,,2,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,2,1,2,1.0,0.0,4.0,9.5,0,2,1.0,1,0,1,1,1,0,79,16,6241,4,0,0,1.0,1.0,90.25,6241
14,,4,1,1.0,0,1,1,0,1,1,0,2,2,2,2,15,,2,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,2,1,2,1.0,0.0,4.0,9.5,0,2,1.0,1,0,1,1,1,0,39,225,1521,4,0,0,1.0,1.0,90.25,1521
15,90000.0,2,0,,0,2,2,0,2,2,0,4,4,4,4,11,,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,4,3.0,0.0,10.0,17.0,0,1,4.0,0,0,1,1,1,0,19,121,361,16,0,4,16.0,9.0,289.0,361
16,90000.0,2,0,,0,2,2,0,2,2,0,4,4,4,4,2,,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,4,3.0,0.0,10.0,17.0,0,1,4.0,0,0,1,1,1,0,70,4,4900,16,0,4,16.0,9.0,289.0,4900
17,90000.0,2,0,,0,2,2,0,2,2,0,4,4,4,4,11,,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,4,3.0,0.0,10.0,17.0,0,1,4.0,0,0,1,1,1,0,19,121,361,16,0,4,16.0,9.0,289.0,361
